group_id,pdb_code,match_types,chemical_name,formula,canonical_smiles
A1EMO,A1EMO,head_to_tail,"""6-[(2E,4E,6E)-6-methylocta-2,4,6-trien-2-yl]-4-oxidanyl-pyran-2-one""","""C14 H16 O3""",C/C=C(C)/C=C/C=C(\C)c1cc(O)cc(=O)o1
A1H6M,A1H6M,head_to_tail,"11,20-Ethanoretinal","""C22 H30 O""",CC1=C(/C=C/C(C)=C/C2=C/C(=C/C=O)CCC2)C(C)(C)CCC1
A1L0S,A1L0S,head_to_tail,"""Anhydrorhodovibrin ""","""C41 H58 O""",COC(C)(C)C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C
A1L1G,A1L1G,head_to_tail,"""(1~{R},3~{S})-6-[(3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{Z},17~{E})-16-(hydroxymethyl)-3,7,12-trimethyl-18-[(1~{S},4~{S},6~{R})-2,2,6-trimethyl-4-oxidanyl-7-oxabicyclo[4.1.0]heptan-1-yl]octadeca-1,3,5,7,9,11,13,15,17-nonaenylidene]-1,5,5-trimethyl-cyclohexane-1,3-diol""","""C40 H56 O5""",C/C(C=C=C1C(C)(C)C[C@H](O)C[C@@]1(C)O)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)CO
A1L1M,A1L1M,head_to_tail,"""(7E)-6-methyl-8-[(4S)-2,6,6-trimethyl-4-oxidanyl-cyclohexen-1-yl]octa-3,5,7-trien-2-one""","""C18 H26 O2""",CC(=O)/C=C/C=C(C)/C=C/C1=C(C)C[C@H](O)CC1(C)C
A1L4O,A1L4O,head_to_tail,"""(3~{S},4~{Z},6~{E},8~{Z},10~{E},12~{E},14~{E},16~{E},18~{E},20~{E},22~{E},24~{E})-2,6,10,14,19,23-hexamethyl-25-[(4~{R})-2,6,6-trimethyl-4-oxidanyl-cyclohexen-1-yl]pentacosa-4,6,8,10,12,14,16,18,20,22,24-undecaene-2,3-diol""","""C40 H56 O3""",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C\C=C(C)\C=C/[C@H](O)C(C)(C)O)C(C)(C)C[C@H](O)C1
A1LXP,A1LXP,head_to_tail,Lutein,"""C40 H56 O2""",CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
A86,A86,head_to_tail,"(3S,3'S,5R,5'R,6S,6'R,8'R)-3,5'-dihydroxy-8-oxo-6',7'-didehydro-5,5',6,6',7,8-hexahydro-5,6-epoxy-beta,beta-caroten-3'-
yl acetate","""C42 H58 O6""",CC(=O)O[C@H]1CC(C)(C)C(=C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C(=O)C[C@@]23O[C@]2(C)C[C@@H](O)CC3(C)C)[C@](C)(O)C1
ANR,ANR,head_to_tail,ANHYDRORETINOL,"""C20 H28""",C=C/C(C)=C/C=C/C(C)=C/C=C1\C(C)=CCCC1(C)C
ARL,ARL,head_to_tail,"""7-(3,5-DITERT-BUTYLPHENYL)-3-METHYLOCTA-2,4,6-TRIENOIC ACID""","""C23 H32 O2""",CC(/C=C/C=C(\C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1)=C\C(=O)O
